City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Kudahuvadhoo,MV,2.6708,72.8944,82.65,73,100,11.25,overcast clouds
307,Kerman,IR,30.2832,57.0788,81.41,23,2,5.91,clear sky
308,Kyzyl-Suu,KG,42.3414,78.0056,67.64,38,0,3.67,clear sky
309,Teyateyaneng,LS,-29.1472,27.7489,46.85,83,86,5.75,light rain
310,Labuan,MY,5.2767,115.2417,80.44,81,98,5.61,overcast clouds
311,Vanavara,RU,60.34,102.2797,58.46,97,88,6.38,overcast clouds
312,Brighton,GB,50.8284,-0.1395,63.41,87,100,11.34,overcast clouds
313,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,83.01,28,96,5.99,overcast clouds
314,Mahebourg,MU,-20.4081,57.7,70.11,74,41,15.79,scattered clouds
315,Nevelsk,RU,46.6733,141.8633,58.96,93,99,3.47,overcast clouds
316,Paraiba Do Sul,BR,-22.1619,-43.2928,77.92,52,8,3.69,clear sky
317,Katangli,RU,51.7102,143.2326,56.75,82,82,4.23,broken clouds
318,Honiara,SB,-9.4333,159.95,79.16,81,30,3.13,scattered clouds
319,Sabang,ID,5.8933,95.3214,80.49,80,100,8.55,overcast clouds
320,Opotiki,NZ,-38.0833,177.2833,45.39,82,100,4.72,overcast clouds
321,Anchorage,US,61.2181,-149.9003,62.65,61,20,7.0,few clouds
322,Geraldton,AU,-28.7667,114.6,57.61,62,75,13.8,broken clouds
323,Sisimiut,GL,66.9395,-53.6735,45.45,87,100,4.7,overcast clouds
324,Ribeira Grande,PT,38.5167,-28.7,77.4,83,40,12.66,scattered clouds
325,Mehran,IR,33.1222,46.1646,92.48,10,0,10.18,clear sky
326,Shakiso,ET,5.75,38.9167,55.72,87,86,1.19,overcast clouds
327,Nikolskoye,RU,59.7035,30.7861,63.48,97,36,2.26,scattered clouds
328,Marzuq,YE,14.4,46.4667,81.12,56,25,7.02,scattered clouds
329,Hambantota,LK,6.1241,81.1185,79.14,80,88,18.59,overcast clouds
330,Tilichiki,RU,60.4667,166.1,47.03,83,100,7.54,overcast clouds
331,Thinadhoo,MV,0.5333,72.9333,81.66,73,99,6.87,overcast clouds
332,Kosa,RU,59.9445,54.9977,59.72,98,25,3.56,scattered clouds
333,Waingapu,ID,-9.6567,120.2641,69.71,77,13,8.05,few clouds
334,Leningradskiy,RU,69.3833,178.4167,34.79,93,100,8.28,overcast clouds
335,Campbell River,CA,50.0163,-125.2446,72.59,56,20,9.22,few clouds
336,Hornostayivka,UA,47.0078,33.729,75.29,53,66,9.33,broken clouds
337,Sibolga,ID,1.7427,98.7792,75.16,90,93,4.29,overcast clouds
338,Blythe,US,33.6103,-114.5964,103.19,23,92,11.43,overcast clouds
339,San Martin,AR,-33.081,-68.4681,72.14,21,1,4.09,clear sky
340,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,5.75,moderate rain
341,Umm Lajj,SA,25.0213,37.2685,87.01,55,100,9.89,overcast clouds
342,Cedar City,US,37.6775,-113.0619,87.4,22,0,20.71,clear sky
343,Almaznyy,RU,48.0448,40.045,60.17,81,34,6.49,scattered clouds
344,Along,IN,28.1667,94.7667,75.31,85,100,1.36,overcast clouds
